"Zip Code","Building type (service class"," Consumption (therms) "," Consumption (GJ) ","Utility/Data Source"
"   11225 (40.663170058551, -73.953701109119)","Commercial","1,296,975","136,838","National Grid"
"   11215 (40.665557251366, -73.979681535574)","Industrial","1,488,168","157,010","National Grid"
"   11223 (40.596939623165, -73.973311472047)","Industrial","159,925","16,873","National Grid"
"   10025 (40.796850127631, -73.963725810598)","Commercial","21,864","2,307","ConEd"
"   11695 (40.597608000209, -73.820967000027)","Small residential","6,691","706","National Grid"
"   10460 (40.843090348041, -73.87860282506)","Residential","1,686,599","177,946","ConEd"
"   11203 (40.649721601171, -73.934276085673)","Large residential","5,413,010","571,103","National Grid"
"   11216 (40.680758670876, -73.949267750906)","Small residential","6,780,596","715,391","National Grid"
"   11374 (40.726464917022, -73.861480847563)","Industrial","3,834","405","National Grid"
"   10013 (40.721242188776, -74.008889000227)","Residential","4,372,985","461,374","ConEd"
"   10009 (40.726649358981, -73.979111485007)","Commercial","2,008,255","211,882","ConEd"
"   11379 (40.71679766548, -73.879334213103)","Commercial","1,248,717","131,747","National Grid"
"   11415 (40.708286075142, -73.828556121568)","Large residential","3,021,274","318,761","National Grid"
"   11414 (40.658170228174, -73.844962639814)","Small residential","6,266,456","661,146","National Grid"
"   11208 (40.674013182662, -73.872064930052)","Large residential","17,908,171","1,889,412","National Grid"
"   10002 (40.716121467931, -73.985831470246)","Large Residential","115,301","12,165","ConEd"
"   10462 (40.842258336653, -73.857996632938)","Large Residential","8,264,125","871,912","ConEd"
"   10031 (40.824954205073, -73.950124436094)","Residential","1,748,720","184,500","ConEd"
"   11414 (40.658170228174, -73.844962639814)","Large residential","2,790,928","294,459","National Grid"
"   10022 (40.758630224006, -73.96809182218)","Residential","122,395","12,913","ConEd"
"   11415 (40.708286075142, -73.828556121568)","Small residential","1,700,526","179,415","National Grid"
"   10304 (40.591229442585, -74.111328000087)","Industrial","272,952","28,798","National Grid"
"   10022 (40.758630224006, -73.96809182218)","Commercial","7,987,371","842,712","ConEd"
"   11429 (40.709913120494, -73.738640316098)","Large residential","47,307","4,991","National Grid"
"   11435 (40.701192649122, -73.809796655791)","Commercial","160,509","16,935","ConEd"
"   10462 (40.842258336653, -73.857996632938)","Residential","2,849,924","300,683","ConEd"
"   10468 (40.869693003729, -73.898926992487)","Residential","998,166","105,312","ConEd"
"   11354 (40.768620220647, -73.827190280707)","Large Residential","2,040,792","215,315","ConEd"
"   11417 (40.676363730802, -73.844542755344)","Commercial","777,807","82,063","National Grid"
"   10467 (40.877047912132, -73.871532500824)","Residential","2,670,008","281,701","ConEd"
"   11432 (40.71311535449, -73.792820999789)","Commercial","2,979,507","314,355","National Grid"
"   11420 (40.673345242689, -73.817707171649)","Institutional","2,004,714","211,509","National Grid"
"   11221 (40.691288039511, -73.927617927925)","Institutional","1,174,968","123,966","National Grid"
"   10455 (40.813535754971, -73.905355252043)","Commercial","1,642,415","173,284","ConEd"
"   11228 (40.616540714083, -74.013277847395)","Commercial","881,038","92,954","National Grid"
"   11102 (40.771524024514, -73.926435450735)","Residential","311,766","32,893","ConEd"
"   11433 (40.698104881735, -73.787574033914)","Commercial","26,725","2,820","ConEd"
"   11233 (40.678130438169, -73.919776475504)","Industrial","88,898","9,379","National Grid"
"   10458 (40.862601328688, -73.884790015047)","Residential","1,321,890","139,467","ConEd"
"   10463 (40.881871962821, -73.911207480541)","Commercial","2,174,885","229,463","ConEd"
"   11356 (40.784928096754, -73.841810700403)","Commercial","2,433,066","256,702","ConEd"
"   11231 (40.677554311782, -74.004676704366)","Commercial","3,743,947","395,007","National Grid"
"   11423 (40.717222295672, -73.76714149998)","Commercial","71,779","7,573","ConEd"
"   11101 (40.745702449808, -73.938669029252)","Large Residential","11,435,850","1,206,546","ConEd"
"   11412 (40.698127117473, -73.759235198346)","Industrial","164,379","17,343","National Grid"
"   11354 (40.768620220647, -73.827190280707)","Residential","4,101,823","432,765","ConEd"
"   10010 (40.739140782121, -73.982898456399)","Residential","1,026,844","108,338","ConEd"
"   11357 (40.786284041475, -73.811232061011)","Small residential","589","62","National Grid"
"   11204 (40.619055848049, -73.984798598876)","Large residential","4,614,998","486,908","National Grid"
"   10038 (40.709359291898, -74.003071862376)","Residential","430,776","45,449","ConEd"
"   10462 (40.842258336653, -73.857996632938)","Commercial","2,619,354","276,356","ConEd"
"   11220 (40.641184928741, -74.016764726711)","Institutional","625,816","66,027","National Grid"
"   11232 (40.654511617018, -74.000033929122)","Small residential","2,619,957","276,420","National Grid"
"   11412 (40.698127117473, -73.759235198346)","Institutional","1,496,825","157,923","National Grid"
"   10468 (40.869693003729, -73.898926992487)","Large Residential","2,590,340","273,295","ConEd"
"   11364 (40.74592468038, -73.757902755608)","Small residential","1,463","154","National Grid"
"   10003 (40.731943947555, -73.98887214913)","Large Residential","495,206","52,247","ConEd"
"   10311 (40.607540999617, -74.171058999973)","Commercial","55,290","5,833","National Grid"
"   11419 (40.688713790409, -73.822888330532)","Institutional","150,090","15,835","National Grid"
"   10453 (40.852786838342, -73.913426784319)","Commercial","1,766,420","186,367","ConEd"
"   10307 (40.508004527487, -74.242114281948)","Industrial","1,870","197","National Grid"
"   10035 (40.793817035428, -73.919317500202)","Residential","1,478,698","156,011","ConEd"
"   10019 (40.76761164716, -73.991805500224)","Commercial","5,022,063","529,856","ConEd"
"   11375 (40.72070726303, -73.846284296083)","Commercial","2,724,624","287,463","National Grid"
"   10017 (40.752456527447, -73.97297648088)","Residential","23,970","2,529","ConEd"
"   11208 (40.674013182662, -73.872064930052)","Small residential","12,293,703","1,297,055","National Grid"
"   11369 (40.763413273704, -73.872378898667)","Small residential","5,658,707","597,025","National Grid"
"   10458 (40.862601328688, -73.884790015047)","Commercial","2,860,723","301,822","ConEd"
"   11231 (40.677554311782, -74.004676704366)","Large residential","8,892,620","938,221","National Grid"
"   11201 (40.694678258795, -73.989920868353)","Institutional","4,499,131","474,684","National Grid"
"   10461 (40.846960590359, -73.840632836736)","Commercial","313","33","ConEd"
"   11213 (40.671225169206, -73.936443366368)","Small residential","5,855,036","617,739","National Grid"
"   11371 (40.775567374635, -73.870865499743)","Industrial","1,707","180","National Grid"
"   11429 (40.709913120494, -73.738640316098)","Institutional","1,416,594","149,459","National Grid"
"   11435 (40.701192649122, -73.809796655791)","Industrial","85,671","9,039","National Grid"
"   10009 (40.726649358981, -73.979111485007)","Commercial","8,554,651","902,564","ConEd"
"   10035 (40.793817035428, -73.919317500202)","Commercial","6,691,182","705,957","ConEd"
"   10470 (40.900127971928, -73.87122775026)","Commercial","878,692","92,707","ConEd"
"   10454 (40.805846930092, -73.916285046518)","Commercial","9,709,459","1,024,402","ConEd"
"   11691 (40.600614338481, -73.762567774683)","Small residential","7,887,704","832,197","National Grid"
"   10040 (40.858095531883, -73.929255489949)","Residential","515,640","54,403","ConEd"
"   11218 (40.64322700852, -73.976448622106)","Small residential","9,322,895","983,618","National Grid"
"   10312 (40.542955977337, -74.180376817236)","Small residential","16,356,892","1,725,744","National Grid"
"   10468 (40.869693003729, -73.898926992487)","Commercial","4,380,584","462,176","ConEd"
"   10310 (40.632789000212, -74.11645860538)","Commercial","1,837,495","193,866","National Grid"
"   11427 (40.729310574324, -73.750676021281)","Small residential","2,286,768","241,267","National Grid"
"   11418 (40.696370412365, -73.840310249918)","Small residential","6,229,973","657,297","National Grid"
"   10018 (40.756840774582, -73.996691499813)","Large Residential","526,802","55,581","ConEd"
"   11216 (40.680758670876, -73.949267750906)","Commercial","1,795,793","189,466","National Grid"
"   11354 (40.768620220647, -73.827190280707)","Commercial","7,429,045","783,806","ConEd"
"   10012 (40.725538020863, -73.997896410591)","Commercial","6,584","695","ConEd"
"   11429 (40.709913120494, -73.738640316098)","Small residential","5,893,890","621,838","National Grid"
"   10029 (40.791610720558, -73.944032281065)","Commercial",,,"ConEd"
"   10456 (40.830436680009, -73.907765199504)","Commercial","2,957,732","312,057","ConEd"
"   11373 (40.738710402563, -73.878351155182)","Industrial","159,820","16,862","National Grid"
"   10454 (40.805846930092, -73.916285046518)","Residential","1,001,876","105,704","ConEd"
"   10462 (40.842258336653, -73.857996632938)","Residential","700,617","73,919","ConEd"
"   10039 (40.826681928628, -73.937770907801)","Commercial",,,"ConEd"
"   11229 (40.601233507321, -73.944368541175)","Industrial","141,426","14,921","National Grid"
"   10035 (40.793817035428, -73.919317500202)","Large Residential","1,531,490","161,581","ConEd"
"   10039 (40.826681928628, -73.937770907801)","Commercial","7,605,045","802,375","ConEd"
"   10004 (40.688827825344, -74.019112505837)","Large Residential","5,877","620","ConEd"
"   11368 (40.749678220374, -73.853040688577)","Industrial","508,926","53,695","National Grid"
"   11234 (40.61636866748, -73.927732249743)","Industrial","657,191","69,337","National Grid"
"   11430 (40.647229326173, -73.786374952542)","Institutional","2,611,959","275,576","National Grid"
"   10018 (40.756840774582, -73.996691499813)","Commercial","3,808,435","401,811","ConEd"
"   11102 (40.771524024514, -73.926435450735)","Residential","1,941,012","204,788","ConEd"
"   10471 (40.901994423104, -73.903626500562)","Large Residential","56,954","6,009","ConEd"
"   11362 (40.759074216602, -73.734300177111)","Commercial","647,115","68,274","ConEd"
"   11373 (40.738710402563, -73.878351155182)","Small residential","10,736,218","1,132,731","National Grid"
"   10011 (40.744715266696, -74.00460000029)","Commercial","1,970","208","ConEd"
"   10029 (40.791610720558, -73.944032281065)","Commercial","14,817,079","1,563,285","ConEd"
"   11378 (40.721453104977, -73.908543500682)","Small residential","7,366,479","777,205","National Grid"
"   11210 (40.627722263871, -73.946537919989)","Large residential","6,310,191","665,760","National Grid"
"   11232 (40.654511617018, -74.000033929122)","Large residential","2,048,639","216,143","National Grid"
"   11356 (40.784928096754, -73.841810700403)","Large Residential","11,747","1,239","ConEd"
"   11217 (40.682312101322, -73.979567188575)","Institutional","769,153","81,150","National Grid"
"   11373 (40.738710402563, -73.878351155182)","Large residential","9,562,956","1,008,945","National Grid"
"   10475 (40.874142343794, -73.827068565562)","Residential","359,517","37,931","ConEd"
"   11235 (40.578414108824, -73.940260000099)","Industrial","44,596","4,705","National Grid"
"   11378 (40.721453104977, -73.908543500682)","Institutional","3,127,131","329,930","National Grid"
"   11225 (40.663170058551, -73.953701109119)","Industrial","567,743","59,900","National Grid"
"   10020 (40.759498513146, -73.980074397216)","Commercial","263,276","27,777","ConEd"
"   11379 (40.71679766548, -73.879334213103)","Institutional","337,862","35,646","National Grid"
"   10305 (40.596184688173, -74.075072384883)","Industrial","1,040,978","109,829","National Grid"
"   11436 (40.675718209128, -73.796465014948)","Commercial","275,889","29,108","National Grid"
"   10014 (40.733586451354, -74.010199604728)","Commercial","3,569,148","376,565","ConEd"
"   10029 (40.791610720558, -73.944032281065)","Residential","242,271","25,561","ConEd"
"   10471 (40.901994423104, -73.903626500562)","Commercial","1,183,226","124,837","ConEd"
"   10032 (40.836930349056, -73.949178521971)","Residential","717,065","75,654","ConEd"
"   11211 (40.711589765256, -73.958176750756)","Large residential","12,471,511","1,315,814","National Grid"
"   10303 (40.633032309993, -74.16834884982)","Industrial","27,422","2,893","National Grid"
"   11106 (40.761699790013, -73.931663252957)","Residential","350,151","36,943","ConEd"
"   11423 (40.717222295672, -73.76714149998)","Large residential","1,922,380","202,822","National Grid"
"   11234 (40.61636866748, -73.927732249743)","Large residential","5,240,504","552,903","National Grid"
"   10304 (40.591229442585, -74.111328000087)","Small residential","8,802,763","928,741","National Grid"
"   11213 (40.671225169206, -73.936443366368)","Commercial","1,724,052","181,897","National Grid"
"   11354 (40.768620220647, -73.827190280707)","Small residential","2,080","219","National Grid"
"   11221 (40.691288039511, -73.927617927925)","Small residential","10,226,769","1,078,981","National Grid"
"   10024 (40.783625568166, -73.966539000574)","Commercial","5,356,180","565,107","ConEd"
"   11105 (40.780092072491, -73.90960650024)","Residential","403,403","42,561","ConEd"
"   11226 (40.646505002304, -73.957190099144)","Large residential","19,482,081","2,055,469","National Grid"
"   10075 (40.772939491764, -73.956090162631)","Commercial",,,"ConEd"
"   11368 (40.749678220374, -73.853040688577)","Commercial","4,130,867","435,830","National Grid"
"   11364 (40.74592468038, -73.757902755608)","Large Residential","1,201,058","126,718","ConEd"
"   11367 (40.730323085042, -73.82610630716)","Residential","321,417","33,911","ConEd"
"   10004 (40.688827825344, -74.019112505837)","Residential","54,549","5,755","ConEd"
"   10036 (40.759346827194, -73.989860554421)","Commercial","7,837,223","826,871","ConEd"
"   11040 (40.745299961824, -73.679631932268)","Commercial","1,051,227","110,910","ConEd"
"   11224 (40.576304656335, -73.999532000401)","Commercial","2,484,705","262,150","National Grid"
"   11201 (40.694678258795, -73.989920868353)","Large residential","18,973,029","2,001,761","National Grid"
"   10308 (40.552935295428, -74.151302759814)","Institutional","98,774","10,421","National Grid"
"   11362 (40.759074216602, -73.734300177111)","Residential","85,444","9,015","ConEd"
"   11434 (40.676945262114, -73.775306901692)","Small residential","10,076,855","1,063,165","National Grid"
"   11361 (40.764188848137, -73.7723255286)","Large Residential","446,965","47,157","ConEd"
"   11360 (40.780701334399, -73.782267336868)","Commercial","486,382","51,316","ConEd"
"   11214 (40.604011809897, -74.000969000119)","Small residential","12,807,919","1,351,307","National Grid"
"   11413 (40.669711181226, -73.750873933285)","Large residential","112,283","11,846","National Grid"
"   11415 (40.708286075142, -73.828556121568)","Institutional","580,482","61,244","National Grid"
"   10005 (40.706125792072, -74.008584685835)","Commercial","1,419,854","149,803","ConEd"
"   10024 (40.783625568166, -73.966539000574)","Large Residential","215,638","22,751","ConEd"
"   11413 (40.669711181226, -73.750873933285)","Small residential","10,114,455","1,067,132","National Grid"
"   10469 (40.868181802748, -73.846568687795)","Commercial","2,237,093","236,026","ConEd"
"   11372 (40.751630739367, -73.883612545283)","Small residential","3,273,710","345,395","National Grid"
"   11694 (40.576578305644, -73.850777000558)","Large residential","1,573,127","165,974","National Grid"
"   11361 (40.764188848137, -73.7723255286)","Residential","4,283,479","451,931","ConEd"
"   10069 (40.778254000322, -73.988541999913)","Commercial","2,123,051","223,994","ConEd"
"   10019 (40.76761164716, -73.991805500224)","Large Residential","1,239,760","130,802","ConEd"
"   11365 (40.739871843711, -73.794621535156)","Large residential","4,277","451","National Grid"
"   10475 (40.874142343794, -73.827068565562)","Large Residential","16,694,182","1,761,330","ConEd"
"   10075 (40.772939491764, -73.956090162631)","Large Residential","73,358","7,740","ConEd"
"   10312 (40.542955977337, -74.180376817236)","Large residential","3,034","320","National Grid"
"   10309 (40.530393118348, -74.218938614326)","Commercial","1,195,656","126,148","National Grid"
"   11377 (40.745193764481, -73.90484714408)","Large Residential","91,130","9,615","ConEd"
"   11229 (40.601233507321, -73.944368541175)","Commercial","1,993,920","210,370","National Grid"
"   11365 (40.739871843711, -73.794621535156)","Commercial","963","102","National Grid"
"   11232 (40.654511617018, -74.000033929122)","Industrial","13,048,581","1,376,698","National Grid"
"   10009 (40.726649358981, -73.979111485007)","Large Residential","44,314","4,675","ConEd"
"   11241 (40.693288999588, -73.990626999836)","Small residential","947","100","National Grid"
"   11004 (40.743237834359, -73.712015000192)","Residential","1,358,168","143,294","ConEd"
"   10023 (40.774536138232, -73.979943356101)","Residential","3,911,782","412,715","ConEd"
"   11241 (40.693288999588, -73.990626999836)","Commercial","184","19","National Grid"
"   11385 (40.701224891615, -73.88334858437)","Institutional","1,245,917","131,451","National Grid"
"   11365 (40.739871843711, -73.794621535156)","Residential","4,511,563","475,995","ConEd"
"   11212 (40.662797169953, -73.912984894337)","Industrial","3,623,309","382,279","National Grid"
"   11234 (40.61636866748, -73.927732249743)","Small residential","22,219,097","2,344,239","National Grid"
"   10452 (40.837724263364, -73.923332211412)","Residential","786,394","82,969","ConEd"
"   11105 (40.780092072491, -73.90960650024)","Residential","3,098,073","326,864","ConEd"
"   11237 (40.704095739827, -73.920994233997)","Small residential","3,804,248","401,369","National Grid"
"   11419 (40.688713790409, -73.822888330532)","Small residential","8,591,091","906,408","National Grid"
"   10306 (40.566020489654, -74.119945669057)","Large residential","1,744,540","184,059","National Grid"
"   11436 (40.675718209128, -73.796465014948)","Institutional","220,564","23,271","National Grid"
"   10025 (40.796850127631, -73.963725810598)","Residential","3,408,769","359,644","ConEd"
"   11365 (40.739871843711, -73.794621535156)","Commercial","5,329,748","562,318","ConEd"
"   10455 (40.813535754971, -73.905355252043)","Commercial","4,937,392","520,923","ConEd"
"   11436 (40.675718209128, -73.796465014948)","Small residential","4,012,282","423,318","National Grid"
"   11377 (40.745193764481, -73.90484714408)","Commercial","311,084","32,821","ConEd"
"   10473 (40.817731470931, -73.860537000082)","Commercial","8,638,721","911,433","ConEd"
"   10309 (40.530393118348, -74.218938614326)","Institutional","579,303","61,120","National Grid"
"   10033 (40.856219929206, -73.945859000193)","Commercial","3,904","412","ConEd"
"   11435 (40.701192649122, -73.809796655791)","Residential","427,854","45,141","ConEd"
"   11366 (40.728164407262, -73.792268173937)","Residential","154,642","16,316","ConEd"
"   10033 (40.856219929206, -73.945859000193)","Large Residential","90,934","9,594","ConEd"
"   11432 (40.71311535449, -73.792820999789)","Large residential","6,817,221","719,255","National Grid"
"   10021 (40.769205327664, -73.959183941086)","Large Residential","180,776","19,073","ConEd"
"   11418 (40.696370412365, -73.840310249918)","Industrial","1,146,988","121,014","National Grid"
"   10128 (40.781770000585, -73.95062814907)","Large Residential","220,365","23,250","ConEd"
"   10032 (40.836930349056, -73.949178521971)","Commercial","1,952,524","206,002","ConEd"
"   11374 (40.726464917022, -73.861480847563)","Large residential","9,176,417","968,163","National Grid"
"   10040 (40.858095531883, -73.929255489949)","Residential","445,116","46,962","ConEd"
"   10307 (40.508004527487, -74.242114281948)","Small residential","3,667,832","386,977","National Grid"
"   11210 (40.627722263871, -73.946537919989)","Small residential","11,755,834","1,240,306","National Grid"
"   11375 (40.72070726303, -73.846284296083)","Small residential","7,403,805","781,143","National Grid"
"   11001 (40.721390004945, -73.707396928425)","Residential","53,094","5,602","ConEd"
"   10003 (40.731943947555, -73.98887214913)","Commercial","8,855,716","934,328","ConEd"
"   11428 (40.721396964798, -73.741937297268)","Commercial","19,477","2,055","ConEd"
"   10019 (40.76761164716, -73.991805500224)","Residential","124,706","13,157","ConEd"
"   10456 (40.830436680009, -73.907765199504)","Large Residential","161,363","17,025","ConEd"
"   10282 (40.719614557066, -74.014649282938)","Commercial","508,119","53,609","ConEd"
"   11223 (40.596939623165, -73.973311472047)","Large residential","7,349,231","775,385","National Grid"
"   11427 (40.729310574324, -73.750676021281)","Residential","77,967","8,226","ConEd"
"   11104 (40.744893366636, -73.920541345307)","Large Residential","226,694","23,917","ConEd"
"   11212 (40.662797169953, -73.912984894337)","Large residential","25,048,890","2,642,798","National Grid"
"   10304 (40.591229442585, -74.111328000087)","Institutional","606,346","63,973","National Grid"
"   10303 (40.633032309993, -74.16834884982)","Institutional","163,704","17,272","National Grid"
"   11001 (40.721390004945, -73.707396928425)","Commercial","79,704","8,409","ConEd"
"   10075 (40.772939491764, -73.956090162631)","Commercial","1,145,955","120,905","ConEd"
"   10455 (40.813535754971, -73.905355252043)","Large Residential","51,911","5,477","ConEd"
"   11206 (40.701912016826, -73.942379198541)","Industrial","593,089","62,574","National Grid"
"   11101 (40.745702449808, -73.938669029252)","Residential","1,144,993","120,803","ConEd"
"   11233 (40.678130438169, -73.919776475504)","Institutional","1,165,816","123,000","National Grid"
"   11226 (40.646505002304, -73.957190099144)","Small residential","6,406,707","675,943","National Grid"
"   11215 (40.665557251366, -73.979681535574)","Institutional","675,011","71,217","National Grid"
"   10471 (40.901994423104, -73.903626500562)","Commercial","6,866","724","ConEd"
"   11414 (40.658170228174, -73.844962639814)","Institutional","116,362","12,277","National Grid"
"   11236 (40.640021493797, -73.901121939926)","Large residential","11,489,554","1,212,212","National Grid"
"   11416 (40.684578097002, -73.849601668482)","Small residential","5,019,507","529,586","National Grid"
"   11377 (40.745193764481, -73.90484714408)","Small residential","7,978,253","841,750","National Grid"
"   11210 (40.627722263871, -73.946537919989)","Commercial","1,224,750","129,218","National Grid"
"   11229 (40.601233507321, -73.944368541175)","Institutional","447,194","47,181","National Grid"
"   11207 (40.670802431187, -73.893841150049)","Large residential","18,203,649","1,920,587","National Grid"
"   11102 (40.771524024514, -73.926435450735)","Commercial","1,778,170","187,607","ConEd"
"   11219 (40.632772955408, -73.996676811186)","Institutional","1,076,397","113,566","National Grid"
"   11411 (40.694293339066, -73.735683291251)","Small residential","5,417,452","571,572","National Grid"
"   10305 (40.596184688173, -74.075072384883)","Commercial","1,902,540","200,729","National Grid"
"   10013 (40.721242188776, -74.008889000227)","Commercial","7,261,765","766,157","ConEd"
"   10309 (40.530393118348, -74.218938614326)","Large residential","13,184","1,391","National Grid"
"   11377 (40.745193764481, -73.90484714408)","Large residential","9,466,158","998,733","National Grid"
"   10457 (40.845798371298, -73.898324186812)","Residential","779,330","82,224","ConEd"
"   11427 (40.729310574324, -73.750676021281)","Residential","1,373,653","144,928","ConEd"
"   10005 (40.706125792072, -74.008584685835)","Commercial","382,037","40,307","ConEd"
"   11369 (40.763413273704, -73.872378898667)","Industrial","8,824","931","National Grid"
"   11204 (40.619055848049, -73.984798598876)","Institutional","892,032","94,114","National Grid"
"   10474 (40.810882923108, -73.882356362356)","Residential","558,002","58,872","ConEd"
"   10470 (40.900127971928, -73.87122775026)","Residential","1,431,048","150,984","ConEd"
"   11421 (40.691764587566, -73.85702228585)","Commercial","743,600","78,454","National Grid"
"   10301 (40.626785508445, -74.096112910882)","Industrial","42,909","4,527","National Grid"
"   11364 (40.74592468038, -73.757902755608)","Commercial","3,008,945","317,461","ConEd"
"   10011 (40.744715266696, -74.00460000029)","Residential","192,654","20,326","ConEd"
"   11369 (40.763413273704, -73.872378898667)","Large residential","1,688,743","178,172","National Grid"
"   10037 (40.813297761083, -73.937282525568)","Large Residential","4,228,025","446,080","ConEd"
"   10024 (40.783625568166, -73.966539000574)","Commercial","1,822,842","192,320","ConEd"
"   10005 (40.706125792072, -74.008584685835)","Residential","265","28","ConEd"
"   11422 (40.661613493968, -73.736051726406)","Industrial","13,360","1,410","National Grid"
"   10468 (40.869693003729, -73.898926992487)","Commercial","3,511,905","370,526","ConEd"
"   11411 (40.694293339066, -73.735683291251)","Institutional","316,866","33,431","National Grid"
"   10031 (40.824954205073, -73.950124436094)","Commercial","1,901,756","200,646","ConEd"
"   11238 (40.67886241347, -73.963820469639)","Small residential","5,094,432","537,491","National Grid"
"   11434 (40.676945262114, -73.775306901692)","Residential",,,"ConEd"
"   11243 (40.685030000035, -73.978075000161)","Large residential","201,530","21,263","National Grid"
"   11236 (40.640021493797, -73.901121939926)","Institutional","839,695","88,593","National Grid"
"   10285 (40.711871000346, -74.014402999998)","Commercial","41,397","4,368","ConEd"
"   11204 (40.619055848049, -73.984798598876)","Commercial","1,607,460","169,596","National Grid"
"   10302 (40.630833311108, -74.137734298699)","Industrial","6,464","682","National Grid"
"   10452 (40.837724263364, -73.923332211412)","Large Residential","93,786","9,895","ConEd"
"   10282 (40.719614557066, -74.014649282938)","Residential","33,268","3,510","ConEd"
"   11004 (40.743237834359, -73.712015000192)","Residential","132,722","14,003","ConEd"
"   10018 (40.756840774582, -73.996691499813)","Commercial","2,082,396","219,704","ConEd"
"   11434 (40.676945262114, -73.775306901692)","Commercial",,,"ConEd"
"   10026 (40.803058121635, -73.953342776048)","Residential","148,829","15,702","ConEd"
"   10465 (40.827628067581, -73.822413141353)","Commercial","3,489,361","368,147","ConEd"
"   10457 (40.845798371298, -73.898324186812)","Large Residential","182,574","19,263","ConEd"
"   10303 (40.633032309993, -74.16834884982)","Large residential","1,519,719","160,339","National Grid"
"   11695 (40.597608000209, -73.820967000027)","Commercial","29,091","3,069","National Grid"
"   11414 (40.658170228174, -73.844962639814)","Industrial","4,334","457","National Grid"
"   11218 (40.64322700852, -73.976448622106)","Institutional","342,884","36,176","National Grid"
"   11228 (40.616540714083, -74.013277847395)","Small residential","9,926,950","1,047,349","National Grid"
"   10017 (40.752456527447, -73.97297648088)","Commercial","3,708,661","391,284","ConEd"
"   11373 (40.738710402563, -73.878351155182)","Institutional","2,030,783","214,259","National Grid"
"   11415 (40.708286075142, -73.828556121568)","Commercial","462","49","ConEd"
"   10465 (40.827628067581, -73.822413141353)","Residential","315,919","33,331","ConEd"
"   10016 (40.745242969987, -73.978232985864)","Residential","111,236","11,736","ConEd"
"   10128 (40.781770000585, -73.95062814907)","Commercial","2,051,345","216,428","ConEd"
"   11416 (40.684578097002, -73.849601668482)","Institutional","277,779","29,307","National Grid"
"   10454 (40.805846930092, -73.916285046518)","Large Residential",,,"ConEd"
"   10464 (40.875709096797, -73.812297250418)","Commercial","312,764","32,998","ConEd"
"   11432 (40.71311535449, -73.792820999789)","Commercial","1,277,032","134,734","ConEd"
"   10016 (40.745242969987, -73.978232985864)","Residential","1,501,042","158,368","ConEd"
"   11362 (40.759074216602, -73.734300177111)","Commercial","2,594,439","273,728","ConEd"
"   10466 (40.890809730185, -73.846009063068)","Commercial","6,931,173","731,278","ConEd"
"   10309 (40.530393118348, -74.218938614326)","Industrial","1,230,604","129,836","National Grid"
"   10128 (40.781770000585, -73.95062814907)","Residential","2,367,827","249,819","ConEd"
"   11207 (40.670802431187, -73.893841150049)","Institutional","3,278,246","345,873","National Grid"
"   10460 (40.843090348041, -73.87860282506)","Residential","469,613","49,547","ConEd"
"   11233 (40.678130438169, -73.919776475504)","Small residential","8,291,426","874,792","National Grid"
"   11692 (40.59313388562, -73.795402084638)","Large residential","983,881","103,805","National Grid"
"   10307 (40.508004527487, -74.242114281948)","Large residential","21,125","2,229","National Grid"
"   11106 (40.761699790013, -73.931663252957)","Commercial","4,841,650","510,821","ConEd"
"   11362 (40.759074216602, -73.734300177111)","Small residential","336","35","National Grid"
"   10473 (40.817731470931, -73.860537000082)","Large Residential","13,657","1,441","ConEd"
"   10469 (40.868181802748, -73.846568687795)","Residential","7,945,664","838,312","ConEd"
"   11691 (40.600614338481, -73.762567774683)","Large residential","7,229,588","762,762","National Grid"
"   11231 (40.677554311782, -74.004676704366)","Industrial","352,339","37,174","National Grid"
"   10028 (40.776344978838, -73.952966679569)","Residential","1,619,890","170,908","ConEd"
"   10453 (40.852786838342, -73.913426784319)","Commercial","7,851,638","828,392","ConEd"
"   11216 (40.680758670876, -73.949267750906)","Large residential","6,405,467","675,813","National Grid"
"   11219 (40.632772955408, -73.996676811186)","Large residential","4,862,069","512,976","National Grid"
"   10018 (40.756840774582, -73.996691499813)","Commercial",,,"ConEd"
"   11215 (40.665557251366, -73.979681535574)","Small residential","9,903,140","1,044,837","National Grid"
"   10031 (40.824954205073, -73.950124436094)","Residential","607,749","64,121","ConEd"
"   10031 (40.824954205073, -73.950124436094)","Large Residential","1,034,833","109,181","ConEd"
"   11238 (40.67886241347, -73.963820469639)","Industrial","228,912","24,151","National Grid"
"   11377 (40.745193764481, -73.90484714408)","Residential","74,199","7,828","ConEd"
"   10024 (40.783625568166, -73.966539000574)","Residential","403,600","42,582","ConEd"
"   11435 (40.701192649122, -73.809796655791)","Institutional","865,115","91,274","National Grid"
"   10029 (40.791610720558, -73.944032281065)","Large Residential","10,842,289","1,143,922","ConEd"
"   11365 (40.739871843711, -73.794621535156)","Large Residential","57,283","6,044","ConEd"
"   11434 (40.676945262114, -73.775306901692)","Large residential","38,846,378","4,098,510","National Grid"
"   11221 (40.691288039511, -73.927617927925)","Large residential","8,523,704","899,299","National Grid"
"   10474 (40.810882923108, -73.882356362356)","Commercial","3,122,702","329,463","ConEd"
