"Zip Code","Building type (service class"," Consumption (therms) "," Consumption (GJ) ","Utility/Data Source"
"   11363 (40.772398418252, -73.746797887413)","Commercial","538,595","56,825","ConEd"
"   10469 (40.868181802748, -73.846568687795)","Large Residential","18,293","1,930","ConEd"
"   10001 (40.750259021437, -73.99688630376)","Commercial","7,191,956","758,792","ConEd"
"   11226 (40.646505002304, -73.957190099144)","Commercial","2,807,970","296,257","National Grid"
"   11428 (40.721396964798, -73.741937297268)","Residential","6,282","663","ConEd"
"   11219 (40.632772955408, -73.996676811186)","Small residential","13,366,615","1,410,253","National Grid"
"   11358 (40.760350968822, -73.796326458199)","Commercial","2,055","217","ConEd"
"   10466 (40.890809730185, -73.846009063068)","Residential","891,414","94,049","ConEd"
"   11427 (40.729310574324, -73.750676021281)","Industrial","14,014","1,479","National Grid"
"   11432 (40.71311535449, -73.792820999789)","Industrial","106,054","11,189","National Grid"
"   10021 (40.769205327664, -73.959183941086)","Commercial","5,344,734","563,899","ConEd"
"   10032 (40.836930349056, -73.949178521971)","Large Residential","10,872,811","1,147,142","ConEd"
"   10069 (40.778254000322, -73.988541999913)","Residential","44,780","4,725","ConEd"
"   10022 (40.758630224006, -73.96809182218)","Large Residential","98,604","10,403","ConEd"
"   10032 (40.836930349056, -73.949178521971)","Commercial","4,152,807","438,144","ConEd"
"   11368 (40.749678220374, -73.853040688577)","Large residential","6,347,326","669,678","National Grid"
"   10465 (40.827628067581, -73.822413141353)","Commercial","1,220,820","128,803","ConEd"
"   11370 (40.75935377086, -73.8918440004)","Small residential","5,080,675","536,040","National Grid"
"   10010 (40.739140782121, -73.982898456399)","Commercial","2,096,300","221,171","ConEd"
"   11225 (40.663170058551, -73.953701109119)","Small residential","4,686,218","494,422","National Grid"
"   10458 (40.862601328688, -73.884790015047)","Large Residential","2,881,283","303,991","ConEd"
"   11378 (40.721453104977, -73.908543500682)","Large residential","618,419","65,247","National Grid"
"   11205 (40.693882095283, -73.964334507731)","Small residential","3,834,731","404,586","National Grid"
"   11369 (40.763413273704, -73.872378898667)","Institutional","168,544","17,782","National Grid"
"   11420 (40.673345242689, -73.817707171649)","Commercial","8,380,985","884,241","National Grid"
"   10075 (40.772939491764, -73.956090162631)","Residential","1,035,531","109,254","ConEd"
"   11243 (40.685030000035, -73.978075000161)","Commercial","558","59","National Grid"
